Average Returns,Iteration
-1086.2625732421875,0
-1086.2625732421875,5
-1086.2625732421875,10
-1110.738037109375,15
-1141.110107421875,20
-1255.5264892578125,25
-389.87158203125,30
-248.2112579345703,35
-242.11827087402344,40
-243.159912109375,45
-203.46180725097656,50
-194.74595642089844,55
-198.33782958984375,60
-183.39141845703125,65
-183.39141845703125,70
-174.4773712158203,75
-174.4773712158203,80
-168.4017791748047,85
-168.4017791748047,90
-168.4017791748047,95
-168.4017791748047,100
-160.08316040039062,105
-160.08316040039062,110
-160.08316040039062,115
-160.08316040039062,120
-160.08316040039062,125
-160.08316040039062,130
-160.08316040039062,135
-153.51220703125,140
-153.51220703125,145
