Average Returns,Iteration
-1086.2625732421875,0
-1086.2625732421875,5
-1086.2625732421875,10
-1086.2625732421875,15
-1086.2625732421875,20
-1086.2625732421875,25
-1086.2625732421875,30
-1136.313720703125,35
-769.4775390625,40
-609.4510498046875,45
-579.3308715820312,50
-550.013427734375,55
-562.5228881835938,60
-591.262939453125,65
-627.5591430664062,70
-627.5591430664062,75
-453.8921203613281,80
-435.0390625,85
-435.0390625,90
-435.0390625,95
-519.8958129882812,100
-519.8958129882812,105
-519.8958129882812,110
-519.8958129882812,115
-519.8958129882812,120
-519.8958129882812,125
-519.8958129882812,130
-529.1160278320312,135
-529.1160278320312,140
-529.1160278320312,145
