Average Returns,Iteration
-1500.6326904296875,0
-1867.634521484375,5
-1980.61328125,10
-1788.47021484375,15
-2013.80126953125,20
-1968.7501220703125,25
-1839.0908203125,30
-1937.302734375,35
-1968.036865234375,40
-1866.970703125,45
-1919.209716796875,50
-1764.943603515625,55
-1900.6529541015625,60
-2042.07080078125,65
-2221.294921875,70
-2123.91552734375,75
-1899.146240234375,80
-1879.064697265625,85
-1773.93115234375,90
-1965.55908203125,95
-1905.73828125,100
-2101.966552734375,105
-1931.152587890625,110
-2031.9384765625,115
-1911.0526123046875,120
-1999.2686767578125,125
-1921.4913330078125,130
-2172.9736328125,135
-1980.98291015625,140
-1836.904296875,145
