Iteration,Average Returns
0,6.0
5,422.0
10,130.0
15,188.0
20,186.0
25,238.0
30,500.0
35,500.0
40,276.0
45,500.0
50,449.0
55,500.0
60,500.0
65,148.0
70,500.0
75,500.0
80,500.0
85,80.0
90,500.0
95,436.0
100,314.0
105,500.0
110,500.0
115,500.0
120,155.0
125,262.0
130,164.0
135,62.0
140,475.0
145,500.0
