Average Returns,Iteration
-1086.2625732421875,0
-1086.2625732421875,5
-1076.171142578125,10
-1163.0400390625,15
-1255.5264892578125,20
-733.8206176757812,25
-353.4549255371094,30
-309.04473876953125,35
-243.37445068359375,40
-210.69398498535156,45
-200.648193359375,50
-200.648193359375,55
-213.7831573486328,60
-216.79222106933594,65
-224.59959411621094,70
-224.59959411621094,75
-210.8347625732422,80
-210.8347625732422,85
-210.8347625732422,90
-210.8347625732422,95
-166.2742919921875,100
-166.2742919921875,105
-166.2742919921875,110
-203.8117218017578,115
-203.8117218017578,120
-203.8117218017578,125
-203.8117218017578,130
-203.8117218017578,135
-203.8117218017578,140
-155.21165466308594,145
