Iteration,Average Returns
0,-1086.2625732421875
5,-1099.360595703125
10,-975.2255859375
15,-635.3244018554688
20,-258.53216552734375
25,-111.28606414794922
30,-88.2017822265625
35,-76.664794921875
40,-76.08914184570312
45,-71.3218765258789
50,-72.70210266113281
55,-72.47357177734375
60,-70.36884307861328
65,-71.81009674072266
70,-71.39159393310547
75,-76.09025573730469
80,-73.84850311279297
85,-83.13861083984375
90,-83.14591217041016
95,-81.55371856689453
100,-84.0535659790039
105,-81.56998443603516
110,-78.33768463134766
115,-75.919677734375
120,-77.05323028564453
125,-77.58916473388672
130,-82.63438415527344
135,-76.87659454345703
140,-79.74129486083984
145,-77.03093719482422
