Iteration,Average Returns
0,6.0
10,126.0
20,10.0
30,10.0
40,10.0
50,10.0
60,19.0
70,10.0
80,57.0
90,10.0
100,13.0
110,177.0
120,10.0
130,19.0
140,42.0
150,500.0
160,409.0
170,272.0
180,500.0
190,21.0
200,129.0
210,22.0
220,115.0
230,21.0
240,19.0
249,32.0
