Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-500.0
45,-272.0
50,-141.0
55,-147.0
60,-158.0
65,-152.0
70,-156.0
75,-157.0
80,-157.0
85,-154.0
90,-157.0
95,-152.0
100,-155.0
105,-154.0
110,-154.0
115,-156.0
120,-153.0
125,-155.0
130,-156.0
135,-154.0
140,-155.0
145,-155.0
