Average Returns,Iteration
-500.0,0
-500.0,5
-500.0,10
-500.0,15
-500.0,20
-500.0,25
-500.0,30
-500.0,35
-500.0,40
-500.0,45
-500.0,50
-228.0,55
-500.0,60
-500.0,65
-404.0,70
-500.0,75
-500.0,80
-328.0,85
-404.0,90
-500.0,95
-227.0,100
-258.0,105
-320.0,110
-407.0,115
-500.0,120
-239.0,125
-500.0,130
-500.0,135
-404.0,140
-249.0,145
