Iteration,Average Returns
0,-500.0
5,-500.0
10,-500.0
15,-500.0
20,-500.0
25,-500.0
30,-500.0
35,-500.0
40,-459.0
45,-393.0
50,-471.0
55,-416.0
60,-349.0
65,-500.0
70,-228.0
75,-315.0
80,-288.0
85,-500.0
90,-500.0
95,-321.0
100,-500.0
105,-230.0
110,-354.0
115,-500.0
120,-233.0
125,-250.0
130,-241.0
135,-500.0
140,-500.0
145,-441.0
